year,gender,series,ours,pub,diff_abs,fail
2009,All,epop_all,0.593206106870229,0.5932061,6.870229052324817e-9,FALSE
2010,All,epop16_24,0.45001054073995994,0.4500105,4.073995996112245e-8,FALSE
2010,All,epop25_54,0.7509218612818261,0.7509218,6.128182616915723e-8,FALSE
2010,All,epop55_64,0.6029260136547304,0.602926,1.3654730457446362e-8,FALSE
2010,All,epop65,0.16193871751149694,0.1619387,1.7511496946953642e-8,FALSE
2010,All,epop_all,0.5847226368525285,0.5847226,3.6852528473296786e-8,FALSE
2011,All,epop16_24,0.45456449459381626,0.4545645,5.406183722911351e-9,FALSE
2011,All,epop25_54,0.751164748807185,0.7511647,4.880718496025338e-8,FALSE
2011,All,epop55_64,0.599832373536648,0.5998324,2.6463352065242418e-8,FALSE
2011,All,epop65,0.16730851519041506,0.1673085,1.519041506470309e-8,FALSE
2011,All,epop_all,0.5837207555358946,0.5837207,5.5535894660785345e-8,FALSE
2012,All,epop16_24,0.45984065183198825,0.4598407,4.816801174589713e-8,FALSE
2012,All,epop25_54,0.757364415914539,0.7573644,1.5914538908923248e-8,FALSE
2012,All,epop55_64,0.6064773735581189,0.60647740000000006,2.6441881129102285e-8,FALSE
2012,All,epop65,0.17303971912393418,0.1730397,1.9123934186238145e-8,FALSE
2012,All,epop_all,0.5856077670541425,0.5856078,3.294585748658818e-8,FALSE
2013,All,epop16_24,0.4649192821648343,0.4649193,1.783516567765986e-8,FALSE
2013,All,epop25_54,0.7589203179885377,0.7589203,1.7988537659441306e-8,FALSE
2013,All,epop55_64,0.609297319460817,0.6092973,1.9460816957916904e-8,FALSE
2013,All,epop65,0.1769326453515157,0.1769326,4.535151570950191e-8,FALSE
2013,All,epop_all,0.5858393031585802,0.5858393,3.1585802862110768e-9,FALSE
2014,All,epop16_24,0.4763897499483365,0.4763897,4.994833646687624e-8,FALSE
2014,All,epop25_54,0.7669764117226591,0.7669764,1.1722659065682706e-8,FALSE
2014,All,epop55_64,0.6134946182476612,0.6134946,1.824766115987586e-8,FALSE
2014,All,epop65,0.17729486865811073,0.1772949,3.13418892783357e-8,FALSE
2014,All,epop_all,0.5900679986771313,0.590068,1.3228687034683162e-9,FALSE
2015,All,epop16_24,0.4860326509458409,0.4860327,4.905415906808486e-8,FALSE
2015,All,epop25_54,0.7724224476256704,0.7724224,4.762567040739185e-8,FALSE
2015,All,epop55_64,0.6152387052273735,0.6152387,5.227373423011272e-9,FALSE
2015,All,epop65,0.18200778343976431,0.1820078,1.656023568274989e-8,FALSE
2015,All,epop_all,0.5934282820711159,0.5934283,1.792888415508287e-8,FALSE
2016,All,epop16_24,0.4941329517366983,0.494133,4.826330168850035e-8,FALSE
2016,All,epop25_54,0.7792876965036856,0.7792877,3.4963144601718454e-9,FALSE
2016,All,epop55_64,0.6178948387721507,0.6178948,3.8772150712240716e-8,FALSE
2016,All,epop65,0.18561465598001456,0.1856147,4.401998543457353e-8,FALSE
2016,All,epop_all,0.5972887800298968,0.5972888,1.997010312670966e-8,FALSE
2017,All,epop16_24,0.5034338138925295,0.5034338,1.3892529460157732e-8,FALSE
2017,All,epop25_54,0.7862876600077965,0.7862877,3.999220354877764e-8,FALSE
2017,All,epop55_64,0.6251709001942866,0.6251709,1.9428658681874822e-10,FALSE
2017,All,epop65,0.1863873077388882,0.1863873,7.738888196939797e-9,FALSE
2017,All,epop_all,0.6011368982280069,0.6011369,1.7719931078019613e-9,FALSE
2018,All,epop16_24,0.5046047784443742,0.5046048,2.1555625728808536e-8,FALSE
2018,All,epop25_54,0.7936782973336498,0.7936783,2.6663501406787304e-9,FALSE
2018,All,epop55_64,0.6307878615187349,0.6307878,6.151873488402515e-8,FALSE
2018,All,epop65,0.18924399898601876,0.189244,1.013981232311778e-9,FALSE
2018,All,epop_all,0.6042103874844351,0.6042104,1.251556491776995e-8,FALSE
1965,Female,epop16_24,0.3921965101475324,0.3921965,1.0147532369941814e-8,FALSE
1965,Female,epop25_54,0.4325797567133349,0.4325798,4.328666514119561e-8,FALSE
1965,Female,epop55_64,0.3989927892869406,0.3989928,1.0713059384048762e-8,FALSE
1965,Female,epop65,0.09690279055504449,0.0969028,9.444955512138975e-9,FALSE
1965,Female,epop_all,0.3708882195147537,0.3708882,1.951475370187694e-8,FALSE
